127.0.0.1 - - [31/Aug/2023:17:12:54 +0900] "GET / HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET / HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_eduexplain.png HTTP/1.1" 200 393595
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_lounge.png HTTP/1.1" 200 142485
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_ogudoctor.png HTTP/1.1" 200 596173
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_place.png HTTP/1.1" 200 704839
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 200 138057
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 200 131154
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_pocket.png HTTP/1.1" 200 865485
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:12:55 +0900] "GET /resources/images/home/mainbanner_food.png HTTP/1.1" 200 750766
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:03 +0900] "GET /essentialdisplay.do HTTP/1.1" 200 14945
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:03 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:03 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:03 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:06 +0900] "GET /bringingdisplay.do HTTP/1.1" 200 14793
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:06 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:06 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:07 +0900] "GET /trainingdisplay.do HTTP/1.1" 200 14731
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:07 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:07 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:09 +0900] "GET /ogudoctormaindisplay.do HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:12 +0900] "GET /placemaindisplay.do HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:12 +0900] "GET /resources/images/page_banner/listbanner_place.png HTTP/1.1" 200 80032
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:15 +0900] "GET /placemaindisplay.do HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:15 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:15 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:16 +0900] "GET /loungemaindisplay.do HTTP/1.1" 200 10482
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:16 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:13:16 +0900] "GET /resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 200 44996
