127.0.0.1 - - [01/Sep/2023:14:52:39 +0900] "GET / HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET / HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_eduexplain.png HTTP/1.1" 200 393595
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_ogudoctor.png HTTP/1.1" 200 596173
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_place.png HTTP/1.1" 200 704839
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_pocket.png HTTP/1.1" 200 865485
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_lounge.png HTTP/1.1" 200 142485
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/mainbanner_food.png HTTP/1.1" 200 750766
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:52:40 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:53:33 +0900] "GET /loungemaindisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:53:33 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:14:53:33 +0900] "GET /resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 200 44996
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:28 +0900] "GET /lounge/lounge_recomm_list.do HTTP/1.1" 200 10437
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:28 +0900] "GET /lounge/resources/images/home/mainlogo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:28 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:28 +0900] "GET /lounge/resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:28 +0900] "GET /lounge/resources/images/home/footer_image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:30 +0900] "GET /lounge/lounge_qna_list.do HTTP/1.1" 200 10537
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:30 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:30 +0900] "GET /lounge/resources/images/home/mainlogo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:30 +0900] "GET /lounge/resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:30 +0900] "GET /lounge/resources/images/home/footer_image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:31 +0900] "GET /lounge/lounge_share_list.do HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:31 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:31 +0900] "GET /lounge/resources/images/home/mainlogo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:31 +0900] "GET /lounge/resources/images/home/footer_image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:31 +0900] "GET /lounge/resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:37 +0900] "GET /supdisplay.do HTTP/1.1" 200 9242
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:37 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:40 +0900] "GET /repdisplay.do HTTP/1.1" 200 9927
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:40 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:40 +0900] "GET /rep_list.do HTTP/1.1" 200 9927
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:40 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2023:15:18:42 +0900] "GET /faq_list.do HTTP/1.1" 200 11219
